serialno,sporder,wagp,occp,rac1p,fhisp
2013000155181,3,60000,800,6,0
2013000155542,1,58000,5560,6,0
2013000155542,2,108000,1220,6,0
2013000155559,1,421000,230,1,0
2013000155559,2,22300,430,1,0
2013000155985,1,37000,50,9,0
2013000155985,2,,,1,0
2013000155985,3,,,1,0
2013000156092,1,0,4230,1,0
2013000156734,1,0,,1,0
2013000156734,2,0,,1,0
2013000156848,1,0,,1,0
2013000156848,2,0,,1,0
2013000157002,1,1500,2160,2,0
2013000157279,1,13400,50,1,0
2013000157279,2,9000,2000,1,0
2013000157279,3,,,1,0
2013000158024,1,1900,4760,9,0
2013000158358,1,100000,6200,1,0
2013000159832,1,0,,6,0
2013000159832,2,421000,800,6,0
2013000159832,3,0,,6,0
2013000159832,4,0,9920,6,0
2013000160510,1,0,5540,6,0
2013000160510,2,0,5540,6,0
2013000160564,1,65000,2100,1,0
2013000160564,2,54000,1350,1,0
2013000160564,3,75000,710,1,0
2013000160564,4,55000,5240,1,0
2013000161615,1,30000,2310,1,0
2013000161615,2,85000,710,9,0
2013000161788,1,0,,6,0
2013000161788,2,0,,6,0
2013000161788,3,0,,6,0
2013000162658,1,0,,1,0
2013000163210,1,5000,230,1,0
2013000163480,1,0,5620,2,0
2013000163585,1,0,,1,0
2013000163585,2,40000,9050,6,0
2013000164281,1,0,9920,6,0
2013000164281,2,0,,6,0
2013000164281,3,,,6,0
2013000164536,1,0,,1,0
2013000164536,2,0,,1,0
2013000164762,1,42000,5120,2,0
2013000164784,1,35500,5130,6,0
2013000164784,2,0,,6,0
2013000164784,3,0,,6,1
2013000164784,4,25000,7850,6,1
2013000164784,5,14000,3600,6,0
2013000164784,6,8000,9620,6,0
2013000164784,7,0,,6,0
2013000164784,8,0,,6,1
2013000164784,9,,,6,1
2013000164784,10,,,6,1
2013000164784,11,0,,6,1
2013000164829,1,34000,735,6,0
2013000164829,2,57000,430,1,0
2013000164854,1,0,2850,1,0
2013000164854,2,0,220,1,0
2013000164925,1,200000,565,1,0
2013000164954,1,0,,2,0
2013000165198,1,70000,850,6,0
2013000165325,1,0,410,1,0
2013000165566,1,165000,430,6,0
2013000165566,2,0,,6,0
2013000165566,3,,,6,0
2013000166480,1,60000,1530,1,0
2013000166480,2,93000,430,1,0
2013000166480,3,160000,2630,1,0
2013000166991,1,12000,137,1,0
