serialno,bld,rntp,ybl
2013000648686,5,1300,4
2013000648930,8,650,1
2013000649226,8,1500,7
2013000650271,9,380,6
2013000653408,8,430,1
2013000653529,4,2100,1
2013000654221,2,450,6
2013000654399,6,1700,5
2013000654967,8,1300,1
2013000655499,6,2000,1
2013000657769,9,1500,5
2013000659377,2,1000,3
2013000660648,9,3600,5
2013000660769,2,950,3
2013000660881,9,3600,14
2013000661271,4,1300,7
2013000663005,5,1000,4
2013000663013,2,1400,2
2013000663376,6,1500,4
2013000664514,3,160,4
2013000665021,5,1200,4
2013000665049,9,280,1
2013000665171,9,250,1
2013000665556,9,2200,1
2013000665698,6,770,1
2013000665762,5,3600,1
2013000666211,6,1700,1
2013000667481,5,1200,1
2013000667581,5,460,1
2013000668307,8,850,1
2013000668838,3,2800,2
2013000668839,3,3600,7
2013000672851,5,3100,7
2013000673584,6,110,1
2013000675805,4,2300,1
2013000675978,5,3000,1
2013000676954,2,2400,7
2013000678514,5,580,1
2013000678605,3,2500,3
2013000679435,6,210,1
2013000680925,8,1600,1
2013000681228,5,280,3
2013000681735,5,3000,3
2013000685754,9,2800,4
2013000685790,8,1500,1
2013000688918,9,1700,1
2013000689781,2,3600,1
2013000689865,6,3600,1
2013000689933,8,1300,4
2013000690090,5,1000,3
2013000692795,5,1200,4
2013000695395,8,1100,1
2013000697331,5,1700,7
2013000697782,8,2500,4
2013000698375,8,780,7
2013000698497,6,1900,5
2013000700481,9,2400,6
2013000700744,5,2600,1
2013000702978,6,1600,2
2013000703257,8,830,1
2013000703546,9,300,1
2013000703815,4,1000,2
2013000703836,8,310,1
2013000704056,8,2400,6
2013000704365,6,2300,1
2013000705372,5,150,13
2013000705930,9,2200,5
2013000706239,9,430,1
2013000707705,5,2700,2
2013000709731,6,2100,5
2013000710023,9,2400,10
2013000710912,5,2500,4
2013000710985,4,3600,1
2013000711725,8,1800,3
2013000711828,3,890,2
2013000712531,2,950,1
2013000713509,8,1700,5
2013000717204,9,600,1
2013000718630,3,2800,1
2013000720699,2,930,2
2013000721346,8,1300,7
2013000721930,9,1000,5
2013000722198,6,700,1
2013000722629,9,1800,4
2013000724460,6,3000,7
2013000725170,8,660,1
2013000725625,6,1300,4
2013000726295,9,840,3
2013000727381,5,1400,1
2013000727396,3,2700,5
2013000728364,2,3600,1
2013000729611,4,1500,1
2013000729860,5,1300,1
2013000731011,5,3600,3
2013000733903,4,2900,2
2013000734170,3,750,6
2013000734730,8,1700,3
