FIPS,TotalPop,County,EnviroScore,EnviroPerc,SB535,Ozone,PM2.5,Diesel,Tox_Release,Traffic,Asthma,LowBirthWeight,Poverty,Hispanic,NHWhite,Black,Asian,Other
6053010702,3911,Monterey ,3.289293038,1.185521503,No,0.035257981,4.92532709,1.084979873,0.247683155,282.07,17.07,3.12,7.1,9.7,83.3,0.3,4,2.8
6053010804,5029,Monterey ,26.19232829,52.2260058,No,0.037784754,4.92532709,2.172191333,0.112529043,444,37.82,3.8,61,88.9,9,0.2,1.4,0.6
6053011000,5933,Monterey ,5.064282362,3.178206583,No,0.035257981,4.92532709,0.253465258,0.007586565,248.71,19.53,2.76,18.1,8.5,86.7,0.4,1.7,2.7
6053011101,5188,Monterey ,23.65845316,46.80287552,No,0.04012721,4.50614746,0.471166251,0.005850259,210.2,32.14,5.6,63.7,86.7,10.4,0.4,0.8,1.6
6053011102,11454,Monterey ,25.08880971,50.09458948,No,0.044311971,4.50614746,1.848119027,0.023181757,488.62,34.99,5.84,46.2,86.5,8.4,1.2,2.6,1.3
6053011202,6868,Monterey ,24.52543369,48.97212763,No,0.042298794,4.50614746,13.61656303,0.0000474,326.55,36.95,3.42,64.7,88.1,7.5,1.2,1.6,1.5
6053011203,7173,Monterey ,22.19617776,43.39765418,No,0.042298794,4.50614746,16.34,0,183.02,36.95,5.33,59.7,93.4,4.6,0.5,0.6,0.9
6053011204,3190,Monterey ,27.40744903,54.66010846,No,0.042298794,4.50614746,3.083217479,0.001442471,184.5,34.88,6.37,51.8,89.3,8.7,0.6,0.3,1.1
6053011302,5813,Monterey ,26.11859281,52.08727456,No,0.037784754,4.50614746,17.22,0,39.41,30.46,3.82,69.2,87.4,10.5,0.3,0.6,1.3
6053011303,3775,Monterey ,19.2886987,36.54937571,No,0.04012721,3.54086032,0.403601559,0.00324564,122.44,29.23,4.6,46.1,55.2,41.7,0.8,0.6,1.7
6053011304,6688,Monterey ,26.53009275,52.94488586,No,0.04012721,4.50614746,1.250222423,0.027731748,97.7,30.39,3.69,51.1,87.9,7.8,0.4,2.7,1.2
6053011400,3778,Monterey ,22.00292932,42.98146046,No,0.04012721,6.55644,0.107269766,11.8786345,104.81,29.3,4.55,42.7,29.5,62.2,1.9,2.3,4.1
6053011602,5266,Monterey ,1.260002532,0.063059654,No,0.035257981,5.34450672,1.627107945,0.013114829,441.77,11.65,1.02,14.7,4.9,87.6,0.6,4.7,2.2
6053011604,1913,Monterey ,1.420119432,0.113507378,No,0.035257981,5.34450672,0.635975614,0.008684547,475.31,12.85,NA,14.4,5,88.9,0.7,3.1,2.4
6053011700,3810,Monterey ,3.083467302,1.034178333,No,0.032532389,5.34450672,3.806883862,0.012358683,455.06,12.53,5.5,12.5,5.8,87.5,0.3,4.3,2.1
6053011801,1885,Monterey ,1.162776434,0.050447724,No,0.032532389,5.34450672,5.608089192,0.013084295,275.05,12.59,NA,13.7,6.2,88.4,0.4,2.7,2.3
6053011802,1830,Monterey ,2.444458597,0.56753689,No,0.032532389,5.34450672,4.142390613,0.012197472,268.41,12.85,NA,26.5,3.1,91.6,0.1,3.3,1.9
6053011900,4449,Monterey ,6.161346409,4.9817127,No,0.032532389,5.34450672,4.852734653,0.018936611,376.38,15.53,9.82,19.7,3.7,84.4,0.9,8.5,2.4
6053012000,3563,Monterey ,3.444167182,1.336864674,No,0.032532389,5.34450672,7.156246214,0.024222676,436.33,25.01,3.52,22.7,18,67.9,1.5,8.3,4.3
